Passenger Count;Trip Distance (in miles);Fare Amount;Surcharge;Tip Amount;Total Amount;Generous ? 
1;5,48;20,5;0,5;0;21,8;No
1;0,9;5,5;0,5;1,35;8,15;Yes
1;3,2;14,5;0,5;3;18,8;Yes
1;12,3;41,5;0,5;0;42,5;No
5;2,03;9,5;0,5;2;12,5;Yes
1;1,5;11;0,5;0;12,3;No
1;0,4;3,2;0,5;0,9;5,4;Yes
1;4,5;15;0,5;4,05;20,35;Yes
1;2,42;14;0,5;3,62;18,92;Yes
1;1,12;6,5;0,5;0;7,8;No
6;1,58;8,5;0,5;0;9,8;No
1;2,1;20,5;0,5;0;21,8;No
1;1,4;7,5;0,5;1,75;10,55;Yes
1;2,9;19,5;0,5;0;20,8;No
2;1,63;7,5;0,5;0;8,8;No
2;12,18;35,5;0,5;0;36,8;No
2;1,36;6;0,5;0;7,3;No
1;1,2;6;0,5;0;7,3;No
1;1,9;9;0,5;0;10,3;No
1;3,34;12,5;0,5;0;13,8;No
2;3,4;13,5;0,5;2,95;17,75;Yes
5;5,39;18,5;0,5;1,2;21;Yes
4;1,6;8;0,5;0;9,3;No
2;1,46;7,5;0,5;1,6;10,4;Yes
1;0,1;6,5;0,5;1,55;9,35;Yes
1;2,25;9,5;0,5;0;10,8;No
1;1,8;9;0,5;0;10,3;No
1;0,9;10;0,5;0;11,3;No
1;6,7;23;0,5;6,05;30,35;Yes
1;1,73;9,5;0,5;0;10,8;No
2;1,91;9,5;0,5;2;12,8;Yes
5;15,94;45,5;0,5;0;46,8;No
1;0,66;4,5;0,5;1;6,5;Yes
2;1,33;7;0,5;0;8,3;No
1;1,4;7,5;0,5;0;8,8;No
2;3,65;14;0,5;3,62;18,92;Yes
3;5,2;17;0,5;0;18,3;No
1;0,89;6;0,5;1,3;8,6;Yes
1;2;10;0,5;0;11,3;No
2;4,6;15;0,5;3,25;19,55;Yes
2;1,7;10;0,5;2,8;14,1;Yes
2;1,98;8;0,5;0;9,3;No
1;2,23;10;0,5;2,1;13,4;Yes
1;13,11;39;0,5;0;40,3;No
1;1,2;6,2;0,5;2,25;9,75;Yes
1;5,3;18,5;0,5;3,95;23,75;Yes
1;2,5;9;0,5;0;10,3;No
1;1,7;10;0,5;0;11,3;No
1;1,5;7,5;0,5;1,75;10,55;Yes
2;8,4;26;0,5;0;32,63;No
2;1,7;7,5;0,5;0;8,8;No
5;2,36;10;0,5;0;11,3;No
1;1,1;6;0,5;0;7,3;No
5;1,22;6,5;0,5;0;7,8;No
2;3,22;12,5;0,5;3,9;17,7;Yes
1;5,09;18,5;0,5;0;19,8;No
1;1,63;8;0,5;0;9,3;No
1;3,6;12,5;0,5;2;15,8;Yes
4;3,96;14,5;0,5;0;15,8;No
1;5,17;17;0,5;0;18,3;No
2;9,9;30,5;0,5;0;31,8;No
5;0,61;4;0,5;0;5,3;No
1;5,95;19;0,5;3,9;24,2;Yes
6;5,78;19;0,5;0;20,3;No
1;0,82;4,5;0,5;0;5,8;No
1;0,88;5,5;0,5;0;6,8;No
1;0,64;5;0,5;0;6,3;No
1;1,1;7;0,5;0;8,3;No
2;3,4;12;0,5;2,65;15,95;Yes
2;0,7;4;0,5;1,05;6,35;Yes
2;1,1;7,5;0,5;1;9,8;Yes
1;1,3;6,5;0,5;1,55;9,35;Yes
1;1,1;7;0,5;0;8,3;No
4;1,1;7;0,5;0;8,3;No
1;3;12;0,5;0;13,3;No
5;2,08;10,5;0,5;2,2;14;Yes
1;3,51;12,5;0,5;0;13,8;No
1;2,9;12;0,5;0;13,3;No
2;3,75;14;0,5;2,9;18,2;Yes
1;4,9;16,5;0,5;0;17,8;No
1;6,34;22,5;0,5;0;23,5;No
1;1,33;9;0,5;0;10,3;No
3;2,12;10;0,5;0;11,3;No
2;0,77;8;0,5;0;9,3;No
1;0,04;52;0;0;52,8;No
1;1,49;7;0,5;0;8,3;No
1;0;-2,5;-0,5;0;-3,8;No
1;0;2,5;0,5;0;3,8;No
1;0,52;4,5;0,5;0;5,8;No
2;1;5,5;0,5;1,7;8,5;Yes
4;0,9;5;0,5;1,25;7,55;Yes
2;0,51;4;0,5;0;5,3;No
1;1,4;10,5;0,5;0;11,8;No
1;0,53;5;0,5;1,38;7,68;Yes
1;2,83;10,5;0,5;1;12,8;Yes
5;2,84;10,5;0,5;0;11,8;No
4;5,3;20;0,5;6,35;27,65;Yes
1;2,55;12;0,5;0;13,3;No
2;18,5;51,7;0,5;4;57;Yes
2;15,7;46;0,5;0;47,3;No
5;0,57;5;0,5;0;6,3;No
1;0,48;5,5;0,5;0;6,8;No
1;2,8;9,5;0,5;3,2;14;Yes
1;0,5;4,5;0,5;0;5,8;No
1;7,2;23,5;0,5;0;30,13;No
1;3,42;17;0,5;0;18,3;No
1;1;9;0,5;0;10,3;No
1;0,66;5;0,5;1;7,3;Yes
2;2,09;8,5;0,5;1,8;11,6;Yes
2;0;6,2;0,5;3;10,5;Yes
1;1,5;8,5;0,5;0;9,8;No
1;2,81;13,5;0,5;2,8;17,6;Yes
2;1,1;8;0,5;0;9,3;No
1;0,2;2,7;0,5;4;8;Yes
2;1,9;8,5;0,5;1,95;11,75;Yes
1;2,14;9;0,5;2,38;12,68;Yes
1;0,4;4,5;0,5;1;6,8;Yes
1;1,1;5,5;0,5;0;6,8;No
5;1,4;7;0,5;0;8,3;No
2;0,8;6;0,5;1,45;8,75;Yes
1;3,46;12;0,5;0;13,3;No
1;3;11,2;0,5;1,5;14;Yes
4;3;19;0,5;0;20,3;No
1;1,5;6,5;0,5;6;13,8;Yes
1;1,2;12,5;0,5;2,75;16,55;Yes
1;0,7;4,5;0,5;0;5,8;No
1;3,2;12;0,5;0;13,3;No
1;9,24;29;0,5;0;30,3;No
1;12,33;34;0,5;0;35,3;No
1;1,4;7;0,5;1;9;Yes
1;6;18;0,5;0;19,3;No
1;2,65;12,5;0,5;0;13,8;No
1;2,49;9,5;0,5;2;12,8;Yes
3;14,17;38,5;0,5;0;45,13;No
1;0,2;3;0,5;0;4,3;No
1;0,24;6,5;0,5;0;7,8;No
1;1,4;10;0,5;0;11,3;No
1;5,4;17,7;0,5;0;19;No
2;0,77;10;0,5;3,15;14,45;Yes
1;3,44;13;0,5;2,7;17;Yes
1;2,58;12;0,5;0;13,3;No
6;2,07;13;0,5;0;14,3;No
1;0,9;5,5;0,5;0;6,5;No
1;1,62;8,5;0,5;0;9,8;No
2;2,1;9;0,5;0;10,3;No
1;6;21;0,5;0;22,3;No
2;0,83;4,5;0,5;0;5,8;No
1;0,6;4;0,5;1,5;6,8;Yes
